sentence_id,sentence,recovered_label
934,"Runs in the background upon execution. | Connecting in rev-proxy and rev-fwd mode Before starting to act as a server, GoRed needs to initialize an embedded X.509 certificate, similarly to the case described in our Hellhounds: Operation Lahat.",T1563.001
1720,The attackers delete artifacts of their persistence to conceal signs of their activity.,T1070.009
2012,Obfuscated Files or Information: Embedded PayloadsNightdoor ’s dropper component contains embedded malicious files that are deployed on disk.,T1027.009
1779,Seedworm Component Object Model and Distributed COMSeedworm has used malware that has the capability to execute malware via COM and Outlook.,T1175
2085,Secondary sources such as firewall logs can identify potential Stage 2 activity in the environment but they rely on publicly available threat intelligence.,T1562.007
1019,"Phishing Protection Protection of the outermost layers of a business is essential when it comes to shielding your organization from phishing and social engineering attacks, as they rely on humans being the weakest links of the security chain within an organization.",T1656
2076,"To regain access to Active Directory, organizations often had to boot a domain controller from physical media and replace the Utility Manager binary (utilman.exe) with cmd.exe.",T1021.006
2194,"Capabilities exist to overwrite the system firmware, which may give sophisticated adversaries a means to install malicious firmware updates as a means of persistence on a system that may be difficult to detect.",T1019
1560,"Crambus External Remote Services Crambus uses remote services such as VPN, Citrix, or OWA to persist in an environment.",T1108
340,"Finally, the attacker pushes the backdoored Docker image to ECR. - Container Escape Features - Amazon ECS Attack Features - Amazon EKS Attack Features - Azure Container Related Attack Features - GCP Container Related Attack Features - OpenShift Container Related Attack Features - IBM Cloud Container Related Attack Features - Alibaba Cloud Container Related Attack Features - CCAT is tool that comes with absolutely no warranties whatsoever.",T1525
321,"Finally, it will examine the general Sandbox structure, with a major focus on a novel behavior based malware detection method leveraging Sandbox-evasion behaviors as an avenue to detecting, mitigating or totally evading the malware.",T1497.002
88,"Process Doppelgänging vs Process Hollowing (aka RunPE) The popular RunPE technique substitutes the PE content after the process is created (suspended), but before it is fully initialized.",T1055.013
1403,The file name of the Loader is stored in the following Windows registry value: HKLM\SYSTEM\CurrentControlSet\Control\Lsa\Security Packages Figure 8.,T1547.005
336,"Hello folks File version: 10.0.17763.437 search: 39 81 3C 06 00 00 0F 84 3B 2B 01 00 replace with: B8 00 01 00 00 89 81 38 06 00 00 90 Hey, I got the latest rdpwrap.ini: https://github.com/stascorp/rdpwrap/files/3062713/rdpwrap.zip to replace the existing one, I had to first stop the Remote Desktop Services windows service. (which will also stop another service: Remote Desktop Services UserMode Port Redirector) The file is now editable/replaceable.",T1505.005
475,"We believe those packages published by the same actor, we found more NPM packages all contain similar malicious payload which exfiltrate host information to the free SaaS services ‘burpcollaborator.net’ and ‘pipedream.net’.",T1567.004
1306,Collection Archive Collected Data Lumma Stealer compresses gathered data before exfiltration to its C&C server.,T1560
703,"Finally, the loader script sets up persistence by creating a link in the startup folder and executing the injector.",T1060
1746,WINGHOOK is a keylogger for Linux and Unix based operating systems.,T1056.001
557,"Using the second- stage rootkit, the attacker can then upload a version speciﬁc rootkit, which can be pre-made a priori for all IOS images, onto the victim router.",T1601.001
1059,"If Telegram exfiltration is enabled, it sends the data as a document using the Telegram Bot API, including a caption with the victim’s username and IP.",T1567.001
1302,Defense Evasion BITS Jobs BITSAdmin.exe is used to download binary modules.,T1197
1467,"The presence of code to exfiltrate data to removable drives when there is physical access to a compromised computer may indicate that Machete operators could have a presence in one of the targeted countries, although we cannot be certain.",T1052
243,"During this process, the active user’s credentials are passed through the attempted SMB connection.",T1187
1178,"Boot or Logon Autostart Execution: XDG Autostart Entries On Linux, an autostart entry is created to launch the backdoor when the user logs in.",T1547.013
2088,"Three hours later, after failing to enumerate the EC2 instances to which the new AWS IAM account would have access, the ubuntu account issued API calls which deleted RDS backups, removed the accounts it had created and terminated the session.",T1578
