true_label_missed,pred_label_extra,count
T1606,T1078,2
T1005,T1090,2
T1586,T1078,2
T1001,T1071,2
T1001,T1036,2
T1606,T1105,2
T1592,T1105,2
T1592,T1078,2
T1059,T1105,2
T1547,T1571,2
T1592,T1082,2
T1557,T1090,2
T1547,T1037,2
T1606,T1219,1
T1106,T1486,1
T1606,T1588,1
T1606,T1553,1
T1106,T1036,1
T1218,T1505,1
T1218,T1078,1
T1218,T1190,1
T1218,T1219,1
T1218,T1588,1
T1106,T1082,1
T1592,T1583,1
T1218,T1553,1
T1001,T1082,1
T1001,T1573,1
T1001,T1486,1
T1001,T1560,1
T1001,T1583,1
T1437,T1082,1
T1437,T1036,1
T1592,T1560,1
T1437,T1573,1
T1592,T1486,1
T1437,T1486,1
T1592,T1573,1
T1437,T1560,1
T1592,T1036,1
T1437,T1583,1
T1606,T1190,1
T1557,T1583,1
T1557,T1587,1
T1557,T1059,1
T1098,T1056,1
T1098,T1105,1
T1098,T1583,1
T1098,T1587,1
T1106,T1573,1
T1098,T1090,1
T1027,T1056,1
T1027,T1105,1
T1027,T1583,1
T1027,T1587,1
T1027,T1059,1
T1027,T1090,1
T1555,T1105,1
T1098,T1059,1
T1606,T1505,1
T1608,T1553,1
T1608,T1588,1
T1608,T1219,1
T1608,T1190,1
T1608,T1078,1
T1608,T1505,1
T1557,T1105,1
T1048,T1588,1
T1048,T1219,1
T1048,T1190,1
T1048,T1078,1
T1048,T1505,1
T1195,T1071,1
T1041,T1071,1
T1557,T1056,1
T1048,T1553,1
T1606,T1204,1
T1606,T1036,1
T1606,T1071,1
T1606,T1555,1
T1068,T1098,1
T1606,T1547,1
T1001,T1105,1
T1555,T1056,1
T1001,T1555,1
T1001,T1140,1
T1195,T1041,1
T1496,T1105,1
T1496,T1078,1
T1496,T1071,1
T1496,T1082,1
T1592,T1056,1
T1001,T1204,1
T1036,T1090,1
T1036,T1105,1
T1036,T1571,1
T1036,T1037,1
T1083,T1090,1
T1083,T1105,1
T1083,T1571,1
T1547,T1134,1
T1115,T1134,1
T1497,T1134,1
T1041,T1134,1
T1620,T1134,1
T1204,T1134,1
T1053,T1134,1
T1218,T1134,1
T1027,T1134,1
T1083,T1037,1
T1528,T1102,1
T1606,T1059,1
T1606,T1016,1
T1606,T1033,1
T1592,T1059,1
T1592,T1016,1
T1036,T1140,1
T1592,T1071,1
T1041,T1583,1
T1041,T1560,1
T1041,T1486,1
T1041,T1573,1
T1041,T1036,1
T1041,T1082,1
T1106,T1583,1
T1106,T1560,1
T1036,T1137,1
T1059,T1056,1
T1059,T1078,1
T1059,T1071,1
T1059,T1082,1
T1589,T1056,1
T1589,T1105,1
T1589,T1078,1
T1003,T1016,1
T1589,T1082,1
T1586,T1056,1
T1586,T1105,1
T1586,T1071,1
T1586,T1082,1
T1003,T1105,1
T1003,T1059,1
T1003,T1078,1
T1589,T1071,1
T1102,T1078,1
T1102,T1016,1
T1102,T1033,1
T1070,T1105,1
T1070,T1059,1
T1070,T1078,1
T1070,T1016,1
T1555,T1059,1
T1074,T1105,1
T1074,T1059,1
T1074,T1078,1
T1074,T1016,1
T1074,T1033,1
T1047,T1491,1
T1059,T1491,1
T1078,T1491,1
T1070,T1033,1
T1562,T1571,1
T1562,T1037,1
T1562,T1102,1
T1547,T1071,1
T1547,T1102,1
T1059,T1090,1
T1059,T1571,1
T1059,T1037,1
T1102,T1059,1
T1547,T1105,1
T1068,T1041,1
T1049,T1105,1
T1049,T1059,1
T1049,T1078,1
T1049,T1016,1
T1049,T1033,1
T1102,T1105,1
T1547,T1090,1
T1021,T1588,1
T1496,T1056,1
T1606,T1140,1
T1592,T1033,1
T1003,T1033,1
T1132,T1140,1
T1001,T1547,1
T1195,T1098,1
T1562,T1041,1
T1135,T1098,1
T1135,T1041,1
T1189,T1098,1
T1189,T1041,1
T1053,T1098,1
