true_label_missed,pred_label_extra,count
T1539,T1059,3
T1083,T1497,2
T1083,T1105,2
T1574,T1140,2
T1547,T1497,2
T1087,T1041,2
T1606,T1041,2
T1606,T1059,2
T1189,T1041,2
T1059,T1105,2
T1562,T1041,2
T1589,T1105,2
T1589,T1041,2
T1137,T1573,2
T1557,T1573,2
T1001,T1071,2
T1001,T1573,2
T1589,T1573,2
T1589,T1555,2
T1203,T1190,1
T1560,T1041,1
T1562,T1190,1
T1203,T1041,1
T1562,T1005,1
T1203,T1005,1
T1606,T1190,1
T1606,T1005,1
T1560,T1190,1
T1047,T1190,1
T1047,T1005,1
T1047,T1041,1
T1185,T1190,1
T1185,T1005,1
T1185,T1041,1
T1564,T1190,1
T1564,T1005,1
T1564,T1041,1
T1087,T1190,1
T1087,T1005,1
T1057,T1190,1
T1057,T1005,1
T1057,T1041,1
T1115,T1005,1
T1560,T1005,1
T1552,T1041,1
T1552,T1005,1
T1552,T1190,1
T1134,T1041,1
T1134,T1059,1
T1589,T1059,1
T1539,T1041,1
T1115,T1190,1
T1557,T1071,1
T1041,T1071,1
T1041,T1573,1
T1557,T1056,1
T1557,T1486,1
T1557,T1059,1
T1098,T1056,1
T1098,T1059,1
T1195,T1071,1
T1608,T1041,1
T1608,T1005,1
T1608,T1190,1
T1048,T1041,1
T1048,T1005,1
T1048,T1190,1
T1124,T1041,1
T1124,T1005,1
T1055,T1190,1
T1016,T1041,1
T1016,T1005,1
T1016,T1190,1
T1218,T1041,1
T1218,T1005,1
T1218,T1190,1
T1055,T1041,1
T1055,T1005,1
T1124,T1190,1
T1482,T1041,1
T1482,T1587,1
T1482,T1573,1
T1046,T1566,1
T1046,T1041,1
T1528,T1114,1
T1046,T1573,1
T1098,T1486,1
T1195,T1041,1
T1195,T1587,1
T1195,T1573,1
T1068,T1566,1
T1068,T1041,1
T1210,T1190,1
T1115,T1105,1
T1115,T1555,1
T1195,T1566,1
T1210,T1114,1
T1210,T1573,1
T1189,T1566,1
T1189,T1587,1
T1189,T1573,1
T1003,T1566,1
T1003,T1041,1
T1003,T1587,1
T1482,T1566,1
T1567,T1566,1
T1567,T1041,1
T1567,T1587,1
T1567,T1573,1
T1053,T1566,1
T1053,T1041,1
T1053,T1587,1
T1053,T1573,1
T1003,T1573,1
T1586,T1105,1
T1586,T1555,1
T1528,T1190,1
T1539,T1217,1
T1003,T1217,1
T1003,T1059,1
T1606,T1217,1
T1115,T1056,1
T1592,T1059,1
T1567,T1217,1
T1083,T1573,1
T1589,T1497,1
T1137,T1497,1
T1137,T1105,1
T1137,T1555,1
T1115,T1041,1
T1592,T1217,1
T1496,T1071,1
T1496,T1105,1
T1496,T1555,1
T1496,T1056,1
T1592,T1071,1
T1592,T1105,1
T1592,T1555,1
T1592,T1056,1
T1586,T1071,1
T1003,T1105,1
T1003,T1555,1
T1003,T1056,1
T1059,T1071,1
T1059,T1555,1
T1059,T1056,1
T1589,T1071,1
T1589,T1056,1
T1003,T1071,1
T1074,T1217,1
T1074,T1059,1
