doc_id,true,pred,n_true_labels,n_pred_labels,tp,fp,fn,precision,recall,f1,accuracy,missing_labels,extra_labels,correct_labels
3CXDesktopApp Backdoored in a Suspected Lazarus Campaign  ,"['T1005', 'T1027', 'T1082', 'T1083', 'T1106', 'T1140', 'T1573.001', 'T1574.002']","['T1027', 'T1082', 'T1083', 'T1105', 'T1106', 'T1140', 'T1574.002']",8,7,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.6666666666666666,"['T1005', 'T1573.001']",['T1105'],"['T1027', 'T1082', 'T1083', 'T1106', 'T1140', 'T1574.002']"
AA21200A Tactics Techniques and Procedures of Indicted APT40 Actors Associated with Chinas MSS Hainan State Security Department,"['T1005', 'T1027', 'T1041', 'T1074.001', 'T1078', 'T1090', 'T1105', 'T1190', 'T1204.002', 'T1566.001']","['T1041', 'T1090', 'T1190', 'T1566.001']",10,4,4,0,6,1.0,0.4,0.5714285714285715,0.4,"['T1005', 'T1027', 'T1074.001', 'T1078', 'T1105', 'T1204.002']",[],"['T1041', 'T1090', 'T1190', 'T1566.001']"
AA22320A Iranian GovernmentSponsored APT Actors Compromise Federal Network Deploy Crypto Miner Credential Harvester,"['T1003.001', 'T1021.001', 'T1027', 'T1053.005', 'T1071.001', 'T1078', 'T1090', 'T1105', 'T1190', 'T1562.001']","['T1003.001', 'T1021.001', 'T1027', 'T1053.005', 'T1070.004', 'T1071.001', 'T1078', 'T1090', 'T1105', 'T1190', 'T1562.001']",10,11,10,1,0,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909091,[],['T1070.004'],"['T1003.001', 'T1021.001', 'T1027', 'T1053.005', 'T1071.001', 'T1078', 'T1090', 'T1105', 'T1190', 'T1562.001']"
Bypassing Intel CET with Counterfeit Objects  OffSec,"['T1055', 'T1106']","['T1059.003', 'T1106', 'T1562.001']",2,3,1,2,1,0.3333333333333333,0.5,0.4,0.25,['T1055'],"['T1059.003', 'T1562.001']",['T1106']
Deja Vu All Over Again Tax Scammers at Large,"['T1027', 'T1055', 'T1056.001', 'T1059.003', 'T1105', 'T1113', 'T1204.002', 'T1547.001', 'T1562.001', 'T1564.001']","['T1027', 'T1056.001', 'T1059.003', 'T1105', 'T1112', 'T1113', 'T1204.002', 'T1548.002', 'T1562.001', 'T1566.001']",10,10,7,3,3,0.7,0.7,0.7,0.5384615384615384,"['T1055', 'T1547.001', 'T1564.001']","['T1112', 'T1548.002', 'T1566.001']","['T1027', 'T1056.001', 'T1059.003', 'T1105', 'T1113', 'T1204.002', 'T1562.001']"
Detecting Credential Stealing Attacks Through Active InNetwork Defense,"['T1003.001', 'T1053.005', 'T1055', 'T1078', 'T1082', 'T1106', 'T1140', 'T1190']","['T1003.001', 'T1027', 'T1036.005', 'T1047', 'T1055', 'T1078', 'T1106', 'T1110', 'T1112', 'T1140', 'T1573.001']",8,11,5,6,3,0.45454545454545453,0.625,0.5263157894736842,0.35714285714285715,"['T1053.005', 'T1082', 'T1190']","['T1027', 'T1036.005', 'T1047', 'T1110', 'T1112', 'T1573.001']","['T1003.001', 'T1055', 'T1078', 'T1106', 'T1140']"
Early Bird Catches the Wormhole Observations from the StellarParticle Campaign,"['T1003.001', 'T1021.001', 'T1027', 'T1033', 'T1036.005', 'T1047', 'T1057', 'T1070.004', 'T1071.001', 'T1078', 'T1083', 'T1140', 'T1564.001', 'T1570']","['T1003.001', 'T1021.001', 'T1027', 'T1036.005', 'T1047', 'T1053.005', 'T1057', 'T1059.003', 'T1078', 'T1112', 'T1140', 'T1543.003']",14,12,8,4,6,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.4444444444444444,"['T1033', 'T1070.004', 'T1071.001', 'T1083', 'T1564.001', 'T1570']","['T1053.005', 'T1059.003', 'T1112', 'T1543.003']","['T1003.001', 'T1021.001', 'T1027', 'T1036.005', 'T1047', 'T1057', 'T1078', 'T1140']"
Earth Zhulong Familiar Patterns Target Southeast Asian Firms,"['T1005', 'T1027', 'T1053.005', 'T1055', 'T1059.003', 'T1070.004', 'T1071.001', 'T1090', 'T1105', 'T1106', 'T1140', 'T1204.002', 'T1484.001', 'T1574.002']","['T1027', 'T1053.005', 'T1055', 'T1070.004', 'T1071.001', 'T1090', 'T1105', 'T1140', 'T1218.011', 'T1566.001', 'T1574.002']",14,11,9,2,5,0.8181818181818182,0.6428571428571429,0.7200000000000001,0.5625,"['T1005', 'T1059.003', 'T1106', 'T1204.002', 'T1484.001']","['T1218.011', 'T1566.001']","['T1027', 'T1053.005', 'T1055', 'T1070.004', 'T1071.001', 'T1090', 'T1105', 'T1140', 'T1574.002']"
Emotet Strikes Again  LNK File Leads to Domain Wide Ransomware  The DFIR Report,"['T1003.001', 'T1005', 'T1016', 'T1021.001', 'T1027', 'T1033', 'T1047', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1071.001', 'T1078', 'T1082', 'T1105', 'T1140', 'T1204.002', 'T1218.011', 'T1219', 'T1543.003', 'T1547.001', 'T1566.001', 'T1569.002', 'T1570']","['T1003.001', 'T1016', 'T1021.001', 'T1027', 'T1047', 'T1055', 'T1059.003', 'T1070.004', 'T1071.001', 'T1078', 'T1082', 'T1083', 'T1105', 'T1110', 'T1140', 'T1190', 'T1204.002', 'T1218.011', 'T1219', 'T1543.003', 'T1547.001', 'T1566.001', 'T1569.002', 'T1570']",24,24,21,3,3,0.875,0.875,0.875,0.7777777777777778,"['T1005', 'T1033', 'T1057']","['T1083', 'T1110', 'T1190']","['T1003.001', 'T1016', 'T1021.001', 'T1027', 'T1047', 'T1055', 'T1059.003', 'T1070.004', 'T1071.001', 'T1078', 'T1082', 'T1105', 'T1140', 'T1204.002', 'T1218.011', 'T1219', 'T1543.003', 'T1547.001', 'T1566.001', 'T1569.002', 'T1570']"
EvilExtractor  AllinOne Stealer,"['T1005', 'T1027', 'T1036.005', 'T1055', 'T1056.001', 'T1070.004', 'T1082', 'T1105', 'T1113', 'T1140', 'T1552.001', 'T1566.001']","['T1016', 'T1027', 'T1036.005', 'T1055', 'T1082', 'T1105', 'T1113', 'T1140', 'T1566.001']",12,9,8,1,4,0.8888888888888888,0.6666666666666666,0.761904761904762,0.6153846153846154,"['T1005', 'T1056.001', 'T1070.004', 'T1552.001']",['T1016'],"['T1027', 'T1036.005', 'T1055', 'T1082', 'T1105', 'T1113', 'T1140', 'T1566.001']"
