true_label_missed,pred_label_extra,count
T1059.003,T1518.001,3
T1570,T1518.001,3
T1105,T1036.005,3
T1570,T1041,3
T1484.001,T1564.001,2
T1484.001,T1083,2
T1059.003,T1041,2
T1027,T1112,2
T1059.003,T1564.001,2
T1564.001,T1112,2
T1059.003,T1005,2
T1110,T1204.002,2
T1082,T1070.004,2
T1105,T1574.002,2
T1070.004,T1071.001,2
T1552.001,T1204.002,2
T1033,T1083,2
T1484.001,T1041,2
T1082,T1041,2
T1070.004,T1518.001,2
T1082,T1074.001,2
T1570,T1074.001,2
T1570,T1005,2
T1570,T1112,2
T1071.001,T1016,2
T1106,T1566.001,2
T1106,T1036.005,2
T1484.001,T1218.011,2
T1082,T1566.001,2
T1070.004,T1112,2
T1547.001,T1566.001,2
T1105,T1003.001,2
T1005,T1057,2
T1090,T1036.005,2
T1005,T1070.004,2
T1573.001,T1070.004,2
T1210,T1041,2
T1573.001,T1057,2
T1105,T1564.001,2
T1190,T1036.005,2
T1105,T1090,2
T1484.001,T1518.001,2
T1484.001,T1219,1
T1484.001,T1112,1
T1570,T1071.001,1
T1570,T1219,1
T1566.001,T1071.001,1
T1105,T1057,1
T1566.001,T1518.001,1
T1484.001,T1071.001,1
T1566.001,T1112,1
T1105,T1083,1
T1566.001,T1219,1
T1105,T1027,1
T1059.003,T1113,1
T1033,T1518.001,1
T1033,T1057,1
T1059.003,T1012,1
T1059.003,T1090,1
T1059.003,T1566.001,1
T1082,T1005,1
T1082,T1113,1
T1082,T1012,1
T1082,T1090,1
T1033,T1564.001,1
T1082,T1518.001,1
T1105,T1518.001,1
T1071.001,T1057,1
T1112,T1518.001,1
T1055,T1057,1
T1543.003,T1057,1
T1112,T1041,1
T1112,T1548.002,1
T1210,T1074.001,1
T1210,T1070.004,1
T1112,T1083,1
T1210,T1105,1
T1518.001,T1074.001,1
T1518.001,T1041,1
T1518.001,T1070.004,1
T1518.001,T1105,1
T1547.001,T1005,1
T1082,T1105,1
T1112,T1562.001,1
T1570,T1070.004,1
T1570,T1105,1
T1105,T1219,1
T1070.004,T1219,1
T1112,T1068,1
T1027,T1071.001,1
T1027,T1518.001,1
T1027,T1219,1
T1112,T1070.004,1
T1112,T1074.001,1
T1059.003,T1071.001,1
T1059.003,T1112,1
T1059.003,T1219,1
T1112,T1219,1
T1190,T1016,1
T1190,T1562.001,1
T1190,T1027,1
T1027,T1036.005,1
T1190,T1204.002,1
T1055,T1566.001,1
T1055,T1112,1
T1027,T1566.001,1
T1033,T1036.005,1
T1027,T1003.001,1
T1095,T1057,1
T1095,T1564.001,1
T1095,T1070.004,1
T1095,T1204.002,1
T1106,T1057,1
T1106,T1564.001,1
T1106,T1070.004,1
T1106,T1204.002,1
T1564.001,T1566.001,1
T1078,T1003.001,1
T1053.005,T1110,1
T1053.005,T1021.001,1
T1053.005,T1016,1
T1053.005,T1562.001,1
T1053.005,T1027,1
T1053.005,T1005,1
T1053.005,T1204.002,1
T1140,T1056.001,1
T1190,T1021.001,1
T1140,T1110,1
T1140,T1021.001,1
T1140,T1016,1
T1140,T1562.001,1
T1140,T1027,1
T1140,T1005,1
T1140,T1204.002,1
T1190,T1056.001,1
T1190,T1110,1
T1140,T1036.005,1
T1071.001,T1574.002,1
T1071.001,T1059.003,1
T1059.003,T1574.002,1
T1059.003,T1047,1
T1059.003,T1218.011,1
T1059.003,T1140,1
T1059.003,T1074.001,1
T1027,T1574.002,1
T1047,T1566.001,1
T1027,T1047,1
T1027,T1564.001,1
T1027,T1218.011,1
T1027,T1140,1
T1027,T1074.001,1
T1547.001,T1518.001,1
T1547.001,T1090,1
T1547.001,T1012,1
T1547.001,T1113,1
T1027,T1041,1
T1047,T1057,1
T1047,T1564.001,1
T1047,T1070.004,1
T1047,T1204.002,1
T1573.001,T1566.001,1
T1573.001,T1564.001,1
T1573.001,T1204.002,1
T1552.001,T1566.001,1
T1552.001,T1057,1
T1071.001,T1090,1
T1552.001,T1070.004,1
T1082,T1057,1
T1082,T1564.001,1
T1082,T1204.002,1
T1074.001,T1036.005,1
T1005,T1564.001,1
T1005,T1204.002,1
T1105,T1059.003,1
T1105,T1016,1
T1552.001,T1564.001,1
T1070.004,T1074.001,1
T1074.001,T1003.001,1
T1056.001,T1574.002,1
T1056.001,T1059.003,1
T1056.001,T1016,1
T1078,T1090,1
T1078,T1574.002,1
T1053.005,T1036.005,1
T1078,T1016,1
T1105,T1041,1
T1105,T1047,1
T1105,T1218.011,1
T1105,T1140,1
T1105,T1074.001,1
T1569.002,T1574.002,1
T1569.002,T1041,1
T1078,T1059.003,1
T1570,T1059.003,1
T1570,T1016,1
T1570,T1053.005,1
T1570,T1543.003,1
T1564.001,T1518.001,1
T1564.001,T1041,1
T1564.001,T1059.003,1
T1564.001,T1016,1
T1070.004,T1005,1
T1564.001,T1543.003,1
T1564.001,T1005,1
T1564.001,T1074.001,1
T1070.004,T1041,1
T1070.004,T1059.003,1
T1070.004,T1016,1
T1070.004,T1053.005,1
T1070.004,T1543.003,1
T1564.001,T1053.005,1
T1573.001,T1033,1
T1005,T1518.001,1
T1005,T1105,1
T1005,T1055,1
T1005,T1033,1
T1095,T1566.001,1
T1190,T1005,1
T1569.002,T1047,1
T1005,T1566.001,1
T1053.005,T1056.001,1
T1083,T1564.001,1
T1547.001,T1112,1
T1041,T1003.001,1
T1041,T1036.005,1
T1090,T1003.001,1
T1190,T1003.001,1
T1056.001,T1090,1
T1569.002,T1564.001,1
T1569.002,T1218.011,1
T1569.002,T1140,1
T1569.002,T1074.001,1
T1083,T1574.002,1
T1083,T1041,1
T1083,T1047,1
T1078,T1036.005,1
T1573.001,T1055,1
T1083,T1140,1
T1083,T1074.001,1
T1484.001,T1574.002,1
T1484.001,T1047,1
T1484.001,T1140,1
T1484.001,T1074.001,1
T1573.001,T1518.001,1
T1573.001,T1105,1
T1083,T1218.011,1
T1210,T1005,1
T1484.001,T1057,1
T1484.001,T1005,1
T1059.003,T1083,1
T1059.003,T1057,1
T1070.004,T1562.001,1
T1082,T1562.001,1
T1204.002,T1113,1
T1106,T1219,1
T1106,T1021.001,1
T1218.011,T1219,1
T1218.011,T1021.001,1
T1218.011,T1036.005,1
T1082,T1219,1
T1082,T1021.001,1
T1082,T1036.005,1
T1110,T1005,1
T1033,T1090,1
T1033,T1027,1
T1036.005,T1105,1
T1036.005,T1106,1
T1112,T1105,1
T1112,T1106,1
T1078,T1105,1
T1078,T1106,1
T1210,T1057,1
T1110,T1090,1
T1110,T1078,1
T1570,T1564.001,1
T1570,T1083,1
T1570,T1057,1
T1210,T1518.001,1
T1210,T1564.001,1
T1210,T1083,1
T1110,T1566.001,1
T1106,T1113,1
T1090,T1566.001,1
T1090,T1548.002,1
T1090,T1218.011,1
T1090,T1016,1
T1090,T1113,1
T1484.001,T1566.001,1
T1070.004,T1204.002,1
T1484.001,T1548.002,1
T1484.001,T1016,1
T1484.001,T1113,1
T1204.002,T1566.001,1
T1204.002,T1036.005,1
T1204.002,T1548.002,1
T1204.002,T1218.011,1
T1204.002,T1016,1
T1484.001,T1036.005,1
T1552.001,T1071.001,1
T1033,T1068,1
T1033,T1041,1
T1033,T1074.001,1
T1082,T1068,1
T1082,T1083,1
T1005,T1068,1
T1005,T1083,1
T1106,T1016,1
T1005,T1074.001,1
T1071.001,T1566.001,1
T1071.001,T1036.005,1
T1071.001,T1548.002,1
T1071.001,T1218.011,1
T1071.001,T1113,1
T1106,T1548.002,1
T1106,T1218.011,1
T1005,T1041,1
