true_label_missed,pred_label_extra,count
T1005,T1016,3
T1564.001,T1112,2
T1484.001,T1566.001,2
T1484.001,T1204.002,2
T1033,T1083,2
T1570,T1112,2
T1095,T1070.004,2
T1036.005,T1016,2
T1210,T1070.004,2
T1570,T1204.002,2
T1570,T1219,2
T1055,T1562.001,1
T1055,T1059.003,1
T1005,T1105,1
T1190,T1027,1
T1190,T1573.001,1
T1190,T1110,1
T1190,T1047,1
T1190,T1036.005,1
T1082,T1112,1
T1082,T1027,1
T1082,T1573.001,1
T1547.001,T1548.002,1
T1547.001,T1566.001,1
T1564.001,T1548.002,1
T1564.001,T1566.001,1
T1055,T1112,1
T1055,T1548.002,1
T1547.001,T1112,1
T1573.001,T1105,1
T1053.005,T1047,1
T1053.005,T1110,1
T1070.004,T1112,1
T1053.005,T1036.005,1
T1070.004,T1053.005,1
T1033,T1059.003,1
T1033,T1112,1
T1070.004,T1059.003,1
T1033,T1543.003,1
T1033,T1053.005,1
T1570,T1059.003,1
T1570,T1543.003,1
T1570,T1053.005,1
T1083,T1059.003,1
T1083,T1112,1
T1070.004,T1543.003,1
T1083,T1543.003,1
T1083,T1053.005,1
T1564.001,T1543.003,1
T1564.001,T1059.003,1
T1071.001,T1059.003,1
T1071.001,T1112,1
T1071.001,T1543.003,1
T1564.001,T1053.005,1
T1082,T1110,1
T1082,T1047,1
T1082,T1036.005,1
T1053.005,T1112,1
T1053.005,T1027,1
T1053.005,T1573.001,1
T1055,T1566.001,1
T1190,T1112,1
T1484.001,T1218.011,1
T1059.003,T1566.001,1
T1059.003,T1218.011,1
T1005,T1566.001,1
T1204.002,T1566.001,1
T1005,T1218.011,1
T1204.002,T1218.011,1
T1071.001,T1053.005,1
T1057,T1083,1
T1057,T1110,1
T1033,T1110,1
T1033,T1190,1
T1070.004,T1016,1
T1057,T1190,1
T1106,T1218.011,1
T1005,T1083,1
T1218.011,T1219,1
T1056.001,T1016,1
T1552.001,T1016,1
T1082,T1219,1
T1110,T1204.002,1
T1078,T1204.002,1
T1033,T1219,1
T1036.005,T1204.002,1
T1068,T1204.002,1
T1566.001,T1204.002,1
T1068,T1016,1
T1068,T1070.004,1
T1068,T1566.001,1
T1484.001,T1070.004,1
T1005,T1190,1
T1106,T1566.001,1
T1570,T1070.004,1
T1484.001,T1016,1
T1570,T1566.001,1
T1570,T1016,1
T1210,T1016,1
T1210,T1566.001,1
T1021.001,T1204.002,1
T1210,T1204.002,1
T1021.001,T1016,1
T1021.001,T1566.001,1
T1110,T1078,1
T1110,T1070.004,1
T1110,T1090,1
T1112,T1016,1
T1140,T1016,1
T1021.001,T1070.004,1
T1078,T1016,1
T1041,T1016,1
T1566.001,T1016,1
T1033,T1204.002,1
T1033,T1027,1
T1033,T1016,1
T1033,T1057,1
T1112,T1219,1
T1078,T1219,1
T1190,T1219,1
T1047,T1219,1
T1105,T1219,1
T1021.001,T1219,1
T1074.001,T1016,1
T1543.003,T1016,1
T1005,T1110,1
T1055,T1016,1
T1012,T1016,1
T1090,T1016,1
T1547.001,T1016,1
T1041,T1082,1
T1041,T1070.004,1
T1095,T1082,1
T1543.003,T1082,1
T1543.003,T1070.004,1
T1016,T1190,1
T1016,T1070.004,1
T1016,T1105,1
T1082,T1190,1
T1082,T1070.004,1
T1082,T1105,1
T1210,T1190,1
T1210,T1105,1
T1518.001,T1190,1
T1518.001,T1070.004,1
T1518.001,T1105,1
T1059.003,T1082,1
T1484.001,T1082,1
T1057,T1082,1
T1484.001,T1071.001,1
T1484.001,T1112,1
T1484.001,T1219,1
T1027,T1204.002,1
T1027,T1071.001,1
T1027,T1112,1
T1027,T1219,1
T1570,T1071.001,1
T1105,T1083,1
T1105,T1090,1
T1082,T1083,1
T1082,T1090,1
T1547.001,T1083,1
T1547.001,T1090,1
T1016,T1047,1
T1016,T1570,1
T1484.001,T1047,1
T1484.001,T1570,1
T1083,T1047,1
T1083,T1570,1
T1569.002,T1047,1
T1569.002,T1570,1
T1078,T1090,1
T1056.001,T1090,1
T1071.001,T1090,1
T1041,T1090,1
T1005,T1070.004,1
T1005,T1548.002,1
T1033,T1070.004,1
T1033,T1548.002,1
T1552.001,T1070.004,1
T1552.001,T1548.002,1
T1219,T1070.004,1
T1219,T1548.002,1
T1012,T1070.004,1
T1012,T1548.002,1
T1047,T1070.004,1
T1047,T1548.002,1
T1095,T1548.002,1
T1113,T1070.004,1
T1113,T1548.002,1
