doc_id,true,pred,n_true_labels,n_pred_labels,tp,fp,fn,precision,recall,f1,accuracy,missing_labels,extra_labels,correct_labels
3CXDesktopApp Backdoored in a Suspected Lazarus Campaign  ,"['T1005', 'T1027', 'T1082', 'T1083', 'T1106', 'T1140', 'T1573.001', 'T1574.002']","['T1027', 'T1033', 'T1055', 'T1057', 'T1070.004', 'T1082', 'T1083', 'T1105', 'T1106', 'T1140', 'T1518.001', 'T1574.002']",8,12,6,6,2,0.5,0.75,0.6,0.42857142857142855,"['T1005', 'T1573.001']","['T1033', 'T1055', 'T1057', 'T1070.004', 'T1105', 'T1518.001']","['T1027', 'T1082', 'T1083', 'T1106', 'T1140', 'T1574.002']"
AA21200A Tactics Techniques and Procedures of Indicted APT40 Actors Associated with Chinas MSS Hainan State Security Department,"['T1005', 'T1027', 'T1041', 'T1074.001', 'T1078', 'T1090', 'T1105', 'T1190', 'T1204.002', 'T1566.001']","['T1003.001', 'T1005', 'T1036.005', 'T1204.002', 'T1566.001']",10,5,3,2,7,0.6,0.3,0.4,0.25,"['T1027', 'T1041', 'T1074.001', 'T1078', 'T1090', 'T1105', 'T1190']","['T1003.001', 'T1036.005']","['T1005', 'T1204.002', 'T1566.001']"
AA22320A Iranian GovernmentSponsored APT Actors Compromise Federal Network Deploy Crypto Miner Credential Harvester,"['T1003.001', 'T1021.001', 'T1027', 'T1053.005', 'T1071.001', 'T1078', 'T1090', 'T1105', 'T1190', 'T1562.001']","['T1003.001', 'T1021.001', 'T1027', 'T1053.005', 'T1070.004', 'T1071.001', 'T1078', 'T1090', 'T1105', 'T1190', 'T1562.001']",10,11,10,1,0,0.9090909090909091,1.0,0.9523809523809523,0.9090909090909091,[],['T1070.004'],"['T1003.001', 'T1021.001', 'T1027', 'T1053.005', 'T1071.001', 'T1078', 'T1090', 'T1105', 'T1190', 'T1562.001']"
Bypassing Intel CET with Counterfeit Objects  OffSec,"['T1055', 'T1106']","['T1055', 'T1059.003', 'T1106']",2,3,2,1,0,0.6666666666666666,1.0,0.8,0.6666666666666666,[],['T1059.003'],"['T1055', 'T1106']"
Deja Vu All Over Again Tax Scammers at Large,"['T1027', 'T1055', 'T1056.001', 'T1059.003', 'T1105', 'T1113', 'T1204.002', 'T1547.001', 'T1562.001', 'T1564.001']","['T1056.001', 'T1059.003', 'T1105', 'T1112', 'T1113', 'T1204.002', 'T1562.001', 'T1566.001']",10,8,6,2,4,0.75,0.6,0.6666666666666665,0.5,"['T1027', 'T1055', 'T1547.001', 'T1564.001']","['T1112', 'T1566.001']","['T1056.001', 'T1059.003', 'T1105', 'T1113', 'T1204.002', 'T1562.001']"
Detecting Credential Stealing Attacks Through Active InNetwork Defense,"['T1003.001', 'T1053.005', 'T1055', 'T1078', 'T1082', 'T1106', 'T1140', 'T1190']","['T1003.001', 'T1005', 'T1016', 'T1021.001', 'T1027', 'T1036.005', 'T1055', 'T1056.001', 'T1078', 'T1082', 'T1106', 'T1110', 'T1204.002', 'T1562.001']",8,14,5,9,3,0.35714285714285715,0.625,0.45454545454545453,0.29411764705882354,"['T1053.005', 'T1140', 'T1190']","['T1005', 'T1016', 'T1021.001', 'T1027', 'T1036.005', 'T1056.001', 'T1110', 'T1204.002', 'T1562.001']","['T1003.001', 'T1055', 'T1078', 'T1082', 'T1106']"
Early Bird Catches the Wormhole Observations from the StellarParticle Campaign,"['T1003.001', 'T1021.001', 'T1027', 'T1033', 'T1036.005', 'T1047', 'T1057', 'T1070.004', 'T1071.001', 'T1078', 'T1083', 'T1140', 'T1564.001', 'T1570']","['T1003.001', 'T1005', 'T1016', 'T1021.001', 'T1027', 'T1033', 'T1036.005', 'T1041', 'T1047', 'T1053.005', 'T1057', 'T1059.003', 'T1071.001', 'T1074.001', 'T1078', 'T1083', 'T1112', 'T1140', 'T1518.001', 'T1543.003']",14,20,11,9,3,0.55,0.7857142857142857,0.6470588235294117,0.4782608695652174,"['T1070.004', 'T1564.001', 'T1570']","['T1005', 'T1016', 'T1041', 'T1053.005', 'T1059.003', 'T1074.001', 'T1112', 'T1518.001', 'T1543.003']","['T1003.001', 'T1021.001', 'T1027', 'T1033', 'T1036.005', 'T1047', 'T1057', 'T1071.001', 'T1078', 'T1083', 'T1140']"
Earth Zhulong Familiar Patterns Target Southeast Asian Firms,"['T1005', 'T1027', 'T1053.005', 'T1055', 'T1059.003', 'T1070.004', 'T1071.001', 'T1090', 'T1105', 'T1106', 'T1140', 'T1204.002', 'T1484.001', 'T1574.002']","['T1005', 'T1016', 'T1027', 'T1036.005', 'T1053.005', 'T1055', 'T1059.003', 'T1070.004', 'T1105', 'T1113', 'T1140', 'T1218.011', 'T1548.002', 'T1566.001', 'T1574.002']",14,15,9,6,5,0.6,0.6428571428571429,0.6206896551724138,0.45,"['T1071.001', 'T1090', 'T1106', 'T1204.002', 'T1484.001']","['T1016', 'T1036.005', 'T1113', 'T1218.011', 'T1548.002', 'T1566.001']","['T1005', 'T1027', 'T1053.005', 'T1055', 'T1059.003', 'T1070.004', 'T1105', 'T1140', 'T1574.002']"
Emotet Strikes Again  LNK File Leads to Domain Wide Ransomware  The DFIR Report,"['T1003.001', 'T1005', 'T1016', 'T1021.001', 'T1027', 'T1033', 'T1047', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1071.001', 'T1078', 'T1082', 'T1105', 'T1140', 'T1204.002', 'T1218.011', 'T1219', 'T1543.003', 'T1547.001', 'T1566.001', 'T1569.002', 'T1570']","['T1003.001', 'T1016', 'T1021.001', 'T1027', 'T1041', 'T1047', 'T1055', 'T1057', 'T1059.003', 'T1068', 'T1070.004', 'T1071.001', 'T1074.001', 'T1078', 'T1083', 'T1105', 'T1140', 'T1204.002', 'T1218.011', 'T1219', 'T1543.003', 'T1547.001', 'T1566.001', 'T1569.002', 'T1570']",24,25,21,4,3,0.84,0.875,0.8571428571428572,0.75,"['T1005', 'T1033', 'T1082']","['T1041', 'T1068', 'T1074.001', 'T1083']","['T1003.001', 'T1016', 'T1021.001', 'T1027', 'T1047', 'T1055', 'T1057', 'T1059.003', 'T1070.004', 'T1071.001', 'T1078', 'T1105', 'T1140', 'T1204.002', 'T1218.011', 'T1219', 'T1543.003', 'T1547.001', 'T1566.001', 'T1569.002', 'T1570']"
EvilExtractor  AllinOne Stealer,"['T1005', 'T1027', 'T1036.005', 'T1055', 'T1056.001', 'T1070.004', 'T1082', 'T1105', 'T1113', 'T1140', 'T1552.001', 'T1566.001']","['T1005', 'T1027', 'T1036.005', 'T1055', 'T1056.001', 'T1071.001', 'T1082', 'T1105', 'T1113', 'T1140', 'T1204.002', 'T1566.001']",12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7142857142857143,"['T1070.004', 'T1552.001']","['T1071.001', 'T1204.002']","['T1005', 'T1027', 'T1036.005', 'T1055', 'T1056.001', 'T1082', 'T1105', 'T1113', 'T1140', 'T1566.001']"
